NUTS1;NUTS2;SEX;GIVEN_NAME;NUMBER;REF_YEAR
AT3;AT33;1;David;124;2015
AT3;AT33;1;Jakob;93;2015
AT3;AT33;1;Lukas;83;2015
AT3;AT33;1;Elias;82;2015
AT3;AT33;1;Paul;79;2015
AT3;AT33;1;Simon;78;2015
AT3;AT33;1;Maximilian;75;2015
AT3;AT33;1;Felix;68;2015
AT3;AT33;1;Matteo;68;2015
AT3;AT33;1;Luca;66;2015
AT3;AT33;1;Raphael;62;2015
AT3;AT33;1;Leo;58;2015
AT3;AT33;1;Fabian;57;2015
AT3;AT33;1;Jonas;57;2015
AT3;AT33;1;Tobias;57;2015
AT3;AT33;1;Alexander;55;2015
AT3;AT33;1;Luis;55;2015
AT3;AT33;1;Noah;53;2015
AT3;AT33;1;Leon;51;2015
AT3;AT33;1;Julian;50;2015
AT3;AT33;1;Moritz;49;2015
AT3;AT33;1;Matthias;48;2015
AT3;AT33;1;Samuel;45;2015
AT3;AT33;1;Philipp;44;2015
AT3;AT33;1;Johannes;40;2015
AT3;AT33;1;Benjamin;36;2015
AT3;AT33;1;Florian;36;2015
AT3;AT33;1;Dominik;35;2015
AT3;AT33;1;Valentin;35;2015
AT3;AT33;1;Lorenz;34;2015
AT3;AT33;1;Gabriel;32;2015
AT3;AT33;1;Daniel;30;2015
AT3;AT33;1;Andreas;29;2015
AT3;AT33;1;Kilian;29;2015
AT3;AT33;1;Sebastian;29;2015
AT3;AT33;1;Finn;28;2015
AT3;AT33;1;Manuel;28;2015
AT3;AT33;1;Max;27;2015
AT3;AT33;1;Liam;26;2015
AT3;AT33;1;Ben;25;2015
AT3;AT33;1;Josef;24;2015
AT3;AT33;1;Michael;24;2015
AT3;AT33;1;Thomas;23;2015
AT3;AT33;1;Adrian;22;2015
AT3;AT33;1;Emil;22;2015
AT3;AT33;1;Anton;20;2015
AT3;AT33;1;Niklas;19;2015
AT3;AT33;1;Stefan;19;2015
AT3;AT33;1;Vincent;19;2015
AT3;AT33;1;Aaron;18;2015
AT3;AT33;1;Eliah;18;2015
AT3;AT33;1;Laurin;18;2015
AT3;AT33;1;Fabio;17;2015
AT3;AT33;1;Marcel;17;2015
AT3;AT33;1;Marco;17;2015
AT3;AT33;1;Jonathan;16;2015
AT3;AT33;1;Linus;16;2015
AT3;AT33;1;Noel;16;2015
AT3;AT33;1;Martin;15;2015
AT3;AT33;1;Nico;15;2015
AT3;AT33;1;Oliver;14;2015
AT3;AT33;1;Yusuf;14;2015
AT3;AT33;1;Muhammed;13;2015
AT3;AT33;1;Christoph;12;2015
AT3;AT33;1;Clemens;12;2015
AT3;AT33;1;Hannes;12;2015
AT3;AT33;1;Benedikt;11;2015
AT3;AT33;1;Christian;11;2015
AT3;AT33;1;Franz;11;2015
AT3;AT33;1;Levi;11;2015
AT3;AT33;1;Theo;11;2015
AT3;AT33;1;Xaver;11;2015
AT3;AT33;1;Emir;10;2015
AT3;AT33;1;Mario;10;2015
AT3;AT33;1;Peter;10;2015
AT3;AT33;1;Lenny;9;2015
AT3;AT33;1;Mira\E7;9;2015
AT3;AT33;1;Ali;8;2015
AT3;AT33;1;Damian;8;2015
AT3;AT33;1;Emilio;8;2015
AT3;AT33;1;Georg;8;2015
AT3;AT33;1;Johann;8;2015
AT3;AT33;1;Leonhard;8;2015
AT3;AT33;1;Louis;8;2015
AT3;AT33;1;Mert;8;2015
AT3;AT33;1;Oskar;8;2015
AT3;AT33;1;Patrick;8;2015
AT3;AT33;1;Adam;7;2015
AT3;AT33;1;Diego;7;2015
AT3;AT33;1;Henry;7;2015
AT3;AT33;1;Konstantin;7;2015
AT3;AT33;1;Leopold;7;2015
AT3;AT33;1;Markus;7;2015
AT3;AT33;1;Mikail;7;2015
AT3;AT33;1;Nevio;7;2015
AT3;AT33;1;Tim;7;2015
AT3;AT33;1;Arian;6;2015
AT3;AT33;1;Emanuel;6;2015
AT3;AT33;1;Emilian;6;2015
AT3;AT33;1;Eric;6;2015
AT3;AT33;2;Sophia;103;2015
